year_reported;international_cooperation;scientific_area_npi;scientific_field_npi;publication_points
2019;Ja;Humaniora;Arkeologi og konservering;196,171408730
2019;Ja;Medisin og helsefag;Øyesykdommer;114,404981442
2019;Ja;Medisin og helsefag;Øre-nese-hals;77,960961961
2019;Ja;Medisin og helsefag;Veterinærmedisin;307,444425892
2019;Ja;Medisin og helsefag;Sykepleie;463,497543078
2019;Ja;Medisin og helsefag;Samfunnsmedisin;2454,737365946
2019;Ja;Medisin og helsefag;Revmatologi;501,382678950
2019;Ja;Medisin og helsefag;Radiologi og billeddiagnostikk;303,901379637
2019;Ja;Medisin og helsefag;Psykologi;1765,592160447
2019;Ja;Medisin og helsefag;Psykiatri;1307,395314340
2019;Ja;Medisin og helsefag;Pediatri;242,341706684
2019;Ja;Medisin og helsefag;Onkologi;2008,550609434
2019;Ja;Medisin og helsefag;Odontologi;329,339095199
2019;Ja;Medisin og helsefag;Nevrologi;1105,326011275
2019;Ja;Medisin og helsefag;Nefrologi;132,035140879
2019;Ja;Medisin og helsefag;Kirurgiske fag;716,592759517
2019;Ja;Medisin og helsefag;Infeksjoner;413,424357854
2019;Ja;Medisin og helsefag;Idrettsforskning;658,553174010
2019;Ja;Medisin og helsefag;Hjerte, kar og luftveier;1697,931049888
2019;Ja;Medisin og helsefag;Hematologi;205,312628004
2019;Ja;Medisin og helsefag;Gynekologi og obstetrikk;593,637033158
2019;Ja;Medisin og helsefag;Geriatri;253,819628908
2019;Ja;Medisin og helsefag;Generell medisin;1251,175877126
2019;Ja;Medisin og helsefag;Gastroenterologi og hepatologi;566,672891540
2019;Ja;Medisin og helsefag;Farmasi, farmakologi og toksikologi;755,823495899
2019;Ja;Medisin og helsefag;Ernæring;183,161216369
2019;Ja;Medisin og helsefag;Endokrinologi;466,992218505
2019;Ja;Medisin og helsefag;Dermatologi og venerologi;163,820307731
2019;Ja;Medisin og helsefag;Biomedisin;2897,075553174
2019;Ja;Medisin og helsefag;Anestesi, intensiv, akutt;373,386889423
2019;Ja;Realfag og teknologi;Tverrfaglig teknologi;618,714165695
2019;Ja;Realfag og teknologi;Tverrfaglig naturvitenskap og medisin;3008,291594175
2019;Ja;Realfag og teknologi;Miljøteknologi og industriell økologi;737,066725752
2019;Ja;Realfag og teknologi;Materialteknologi;1083,602215838
2019;Ja;Realfag og teknologi;Matematikk;1244,317914900
2019;Ja;Realfag og teknologi;Maskinteknikk;370,293624338
2019;Ja;Realfag og teknologi;Marin og maritim teknologi;327,745905463
2019;Ja;Realfag og teknologi;Kjemisk teknologi;387,799072826
2019;Ja;Realfag og teknologi;Kjemi;921,714247284
2019;Ja;Realfag og teknologi;Informatikk og datateknikk;2043,740089443
2019;Ja;Realfag og teknologi;Industriell økonomi;88,021045328
2019;Ja;Realfag og teknologi;Geofag;5825,161292126
2019;Ja;Realfag og teknologi;Generell teknologi;262,311124474
2019;Ja;Realfag og teknologi;Fysikk;4001,576962028
2019;Ja;Realfag og teknologi;Energi;700,390337276
2019;Ja;Realfag og teknologi;Elkraft og elektrotekniske fag;282,568895320
2019;Ja;Realfag og teknologi;Elektronikk og kybernetikk;766,925184945
2019;Ja;Realfag og teknologi;Bygg og konstruksjonsteknikk;597,600477185
2019;Ja;Realfag og teknologi;Bioteknologi;229,428925579
2019;Ja;Realfag og teknologi;Biologi;5467,131872579
2019;Ja;Realfag og teknologi;Anvendt geologi og petroleumsfag;264,441615862
2019;Ja;Samfunnsvitenskap;Økonomisk-administrative fag;1361,672140303
2019;Ja;Samfunnsvitenskap;Utviklingsstudier;143,346026226
2019;Ja;Samfunnsvitenskap;Tverrfaglig samfunnsforskning;689,288692162
2019;Ja;Samfunnsvitenskap;Statsvitenskap;738,636452666
2019;Ja;Samfunnsvitenskap;Sosiologi;273,188680596
2019;Ja;Samfunnsvitenskap;Sosialforskning;407,048154713
2019;Ja;Samfunnsvitenskap;Sosialantropologi;75,100148360
2019;Ja;Samfunnsvitenskap;Samfunnsøkonomi;600,228384979
2019;Ja;Samfunnsvitenskap;Rettsvitenskap;184,052403811
2019;Ja;Samfunnsvitenskap;Pedagogikk og utdanning;864,956153478
2019;Ja;Samfunnsvitenskap;Kjønnsforskning;34,690196713
2019;Ja;Samfunnsvitenskap;Geografi;471,666770437
2019;Ja;Samfunnsvitenskap;Biblioteks- og informasjonsvitenskap;317,559008655
2019;Nei;Humaniora;Tysk og nederlandsk;19,936093315
2019;Nei;Humaniora;Tverrfaglig humanistisk forskning;255,578074456
2019;Nei;Humaniora;Teologi og religionsvitenskap;427,961494159
2019;Nei;Humaniora;Teatervitenskap og drama;54,343229839
2019;Nei;Humaniora;Slavisk-baltisk;28,7
2019;Nei;Humaniora;Romansk;40,856854249
2019;Nei;Humaniora;Nordisk;165,940324957
2019;Nei;Humaniora;Musikkvitenskap;150,060407710
2019;Nei;Humaniora;Medier og kommunikasjon;272,893682912
